sigla da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;Ano do RelatÛrio
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.08408.00;Concei«√Åo do Coit√à;09167014.0001-79;KARISMA CAL«ADOS LTDA EPP;2011
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.08408.00;Concei«√Åo do Coit√à;09183086.0001-00;NANADA CAL«ADOS LTDA EPP;2011
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.33000.00;Valente;09169903.0001-75;CAL«ADOS VALENTE LTDA EPP;2011
BA;BAHIA;29.08408.00;Concei«√Åo do Coit√à;29.33000.00;Valente;09163642.0001-86;RV INDUSTRIA DE CAL«ADOS LTDA EPP;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.07301.00;Castro Alves;05858273.0001-95;INDUSTRIA DE CAL«ADOS CASTRO ALVES S / A;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.09802.00;Cruz das Almas;02279361.0001-44;CAL«ADOS BIBI NORDESTE LTDA.;2011
BA;BAHIA;29.10727.00;Eun√Äpolis;29.10727.00;Eun√Äpolis;40551996.0001-48;VERACEL CELULOSE S. A;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei«√Åo do Jacu√åpe;03281950.0001-20;FCC JACUIPE TERMOPLASTICOS ADESIVOS E COMP LTDA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei«√Åo do Jacu√åpe;07666567.0001-40;M. K. ELETRODOM…STICOS LTDA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;14044853.0001-30;BELGO BEKAERT NORDESTE S / A;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;07857217.0001-61;BORRACHAS VIPAL NORDESTE S. A.;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;32677726.0001-50;BRASFRUT FRUTOS DO BRASIL LTDA.;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;08334818.0001-52;NESTLE NORDESTE ALIMENTOS E BEBIDAS LTDA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;06043069.0001-89;RIGEGA DA BAHIA S / A;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de Santana;05144240.0001-83;VITORIA PRE MOLDADOS LTDA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.29305.00;S√Åo Gon«alo dos Campos;34149823.0001-03;GUJ√O ALIMENTOS LTDA;2011
BA;BAHIA;29.13606.00;Ilh√àus;29.13606.00;Ilh√àus;15124563.0001-69;JOANES INDUSTRIAL S / A PRODUTOS QUIMICOS E VEGETAIS;2011
BA;BAHIA;29.13606.00;Ilh√àus;29.13606.00;Ilh√àus;15107246.0001-34;MUCAMBO S / A;2011
BA;BAHIA;29.13606.00;Ilh√àus;29.13606.00;Ilh√àus;03654119.0001-76;TECVAN INFORM TICA LTDA;2011
BA;BAHIA;29.13903.00;Ipia√õ;29.15205.00;Itagib√Ä;74127010.0001-29;MIRABELA MINERA«√O DO BRASIL LTDA.;2011
BA;BAHIA;29.14703.00;Itaberaba;29.14703.00;Itaberaba;06004500.0002-69;CLASSICO NORDESTE IND. DE ART. ESPORTIVOS LTDA;2011
BA;BAHIA;29.14703.00;Itaberaba;29.27200.00;Ruy Barbosa;06269953.0001-36;CAL«ADOS PEGADA NORDESTE LTDA;2011
BA;BAHIA;29.14802.00;Itabuna;29.05602.00;Camacan;05831339.0001-53;CONFECCOES CAMACAN LTDA.;2011
BA;BAHIA;29.14802.00;Itabuna;29.14802.00;Itabuna;05750853.0001-64;DELFI CACAU BRASIL LTDA;2011
BA;BAHIA;29.17508.00;Jacobina;29.17508.00;Jacobina;42463174.0001-30;JACOBINA MINERACAO E COMERCIO LTDA;2011
BA;BAHIA;29.18001.00;Jequi√à;29.18001.00;Jequi√à;01726410.0001-87;CAL«ADOS RAMARIM NORDESTE LTDA;2011
BA;BAHIA;29.18001.00;Jequi√à;29.18001.00;Jequi√à;05822114.0001-30;ELBO INDUSTRIA E COMERCIO DE ROUPAS LTDA;2011
BA;BAHIA;29.18001.00;Jequi√à;29.18001.00;Jequi√à;14595730.0001-97;LE BRUT INDUSTRIA E COMERCIO DE ROUPAS LTDA;2011
BA;BAHIA;29.18001.00;Jequi√à;29.18001.00;Jequi√à;08630957.0001-23;MIP INDUSTRIA E COMERCIO DE ROUPAS LTDA;2011
BA;BAHIA;29.18407.00;Juazeiro;29.18407.00;Juazeiro;13642699.0001-35;AGRO INDUSTRIA DO VALE DO SAO FRANCISCO;2011
BA;BAHIA;29.18407.00;Juazeiro;29.18407.00;Juazeiro;14664957.0001-47;CAMPELO INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.18407.00;Juazeiro;29.18407.00;Juazeiro;02952466.0001-12;ICOFORT AGROINDUSTRIAL LTDA;2011
BA;BAHIA;29.25303.00;Porto Seguro;29.27705.00;Santa Cruz Cabr√Älia;00738822.0002-55;SANTA CRUZ A«¬ª CAR E LCOOL LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.19207.00;Lauro de Freitas;05256426.0001-24;AULIK INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.19207.00;Lauro de Freitas;11173631.0001-29;BBRA INDUSTRIA DE PLASTICOS;2011
BA;BAHIA;29.27408.06;Salvador I;29.19207.00;Lauro de Freitas;03135703.0001-15;MASTER GLASSES INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;02422329.0001-76;ACF EMPRESA DE ENGENHARIA E MANUTEN«√O INDUSTRIAL;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;01561279.0001-45;BOMIX INDUSTRIA DE EMBALAGENS LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;05900342.0001-81;CMT IND E COM DE MOVEIS LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;15127483.0001-67;DANCO COMERCIO E INDUSTRIA DE FUMOS LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;07498296.0001-61;DRILLFOR PERFURA«’ES DO BRASIL LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;15257819.0001-06;EMPRESA GRAFICA DA BAHIA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;15138340.0001-50;ERMOR TABARAMA TABACOS DO BRASIL LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;13602529.0001-27;FIORELLI INDUSTRIA E COMERCIO DE CONFECCOES LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;15120066.0001-92;F BRICA DE PAPEL DA BAHIA S. A.;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;02748342.0002-09;INDUSTRIA BAIANA DE COLCHOES E ESPUMAS LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;04700400.0001-60;K INDUSTRIA E COMERCIO DE CONFEC«OES LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;04011170.0001-22;LAKELAND BRASIL S. A.;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;00066716.0001-91;LOGIN INFORMATICA COMERCIO E REPRES. LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;13060983.0001-01;MFX DO BRASIL EQUIP DE PETROLEO LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;02214604.0001-66;PAPAIZ NORDESTE INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.27408.00;Salvador;14437230.0001-27;SERTEL SERVI«OS DE INSTALA«’ES TERMICAS LTDA;2011
BA;BAHIA;29.27408.06;Salvador I;29.30709.00;Sim√îes Filho;02036823.0001-00;BRISA INDUSTRIA DE TECIDOS TECNOLOGICOS S. A;2011
BA;BAHIA;29.27408.06;Salvador I;29.30709.00;Sim√îes Filho;59791962.0001-59;ENGEPACK EMBALAGENS S√O PAULO S / A;2011
BA;BAHIA;29.27408.06;Salvador I;29.30709.00;Sim√îes Filho;15102262.0001-34;POSTES NORDESTE S / A;2011
BA;BAHIA;29.27408.06;Salvador I;29.30709.00;Sim√îes Filho;15144306.0001-99;VALE MANGANES S. A;2011
BA;BAHIA;29.27408.06;Salvador I;29.30709.00;Sim√îes Filho;29981297.0001-03;VESCON EQUIPAMENTOS INDUSTRIAIS LTDA;2011
BA;BAHIA;29.28604.00;Santo Amaro;29.01106.00;Am√àlia Rodrigues;03333102.0001-17;UNI√O INDUSTRIAL A«UCAREIRA LTDA;2011
BA;BAHIA;29.28604.00;Santo Amaro;29.28604.00;Santo Amaro;03990321.0001-79;PENHA PAPEIS E EMBALAGENS LTDA;2011
BA;BAHIA;29.28703.00;Santo Ant√ñnio de Jesus;29.01007.00;Amargosa;02486451.0001-06;DAIBY NORDESTE CALCADOS LTDA;2011
BA;BAHIA;29.28703.00;Santo Ant√ñnio de Jesus;29.28703.00;Santo Ant√ñnio de Jesus;03576468.0001-17;DALPONTE CAL«ADOS DO NORTDESTE LTDA;2011
BA;BAHIA;29.28703.00;Santo Ant√ñnio de Jesus;29.28703.00;Santo Ant√ñnio de Jesus;01839046.0001-61;ITAPARICA LOC DE MAO DE OBRA INDL LTDA;2011
BA;BAHIA;29.28703.00;Santo Ant√ñnio de Jesus;29.28703.00;Santo Ant√ñnio de Jesus;96738240.0001-67;RECONFLEX IND⁄STRIA E COM…RCIO DE COLCH’ES LTDA;2011
BA;BAHIA;29.29206.00;S√Åo Francisco do Conde;29.06501.00;Candeias;60479813.0001-38;GRAFTECH BRASIL PARTICIPA«’ES LTDA;2011
BA;BAHIA;29.29206.00;S√Åo Francisco do Conde;29.06501.00;Candeias;02402478.0001-73;UNIGEL PLASTICOS S / A;2011
BA;BAHIA;29.30105.00;Senhor do Bonfim;29.17706.00;Jaguarari;42509257.0001-13;MINERA«√O CARAÕBA S / A;2011
BA;BAHIA;29.30501.00;Serrinha;29.03276.00;Barrocas;05673658.0001-88;MINERA«√O FAZENDA BRASILEIRO S / A;2011
BA;BAHIA;29.30501.00;Serrinha;29.30501.00;Serrinha;09160692.0001-00;KN LIMANA INDUSTRIA DE CAL«ADOS LTDA;2011
BA;BAHIA;29.31350.00;Teixeira de Freitas;29.12806.00;Ibirapu√Å;40568933.0001-02;PEL AGROINDUSTRIA DE LATICINIOS LTDA;2011
BA;BAHIA;29.31350.00;Teixeira de Freitas;29.21104.00;Medeiros Neto;04588246.0001-87;USINA SANTA MARIA LTDA;2011
BA;BAHIA;29.31350.00;Teixeira de Freitas;29.31350.00;Teixeira de Freitas;01066650.0001-00;FRIGORIFICO NORDESTE ALIMENTOS LTDA;2011
BA;BAHIA;29.31350.00;Teixeira de Freitas;29.31350.00;Teixeira de Freitas;07512861.0001-06;MHL CAL«ADOS LTDA;2011
BA;BAHIA;29.32903.00;Valen«a;29.32903.00;Valen«a;15102098.0001-65;COMPANHIA VALEN«A INDUSTRIAL;2011
BA;BAHIA;29.33307.00;Vit√ìria da Conquista;29.33307.00;Vit√ìria da Conquista;06125505.0001-69;ENGEFLEX BAHIA INDUSTRIA E COMERCIO LTDA;2011
BA;BAHIA;29.33307.00;Vit√ìria da Conquista;29.33307.00;Vit√ìria da Conquista;16183527.0001-39;TEIU INDUSTRIA E COMERCIO LTDA;2011
