codigo da uf;nome da uf;codigo da agencia;nome da agencia;codigo do municipio;nome do municipio;cnpj;razao social;bairro;Ano do RelatÛrio
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;05901601.0001-99;DMJ SERVI ≤ OS E CONSTRU ≤ öES LTDA;ABRANTES;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;04023402.0001-62;EXCELLENT SUPORTE OPERACIONAL E;MANGUEIRAL;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;40511982.0001-09;FERREIRA MENDES CONSTRUTORA LTDA;ALTO DA CRUZ;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;03399658.0001-06;GECONARTE CONSTRUCOES LTDA;PONTO CERTO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;07527806.0001-81;JEPAM CONTRU ≤ öES E MANUTEN ≤ ¥ O DE;PHOC I;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;41982455.0001-37;JOAO BRAGA RODRIGUES;FICAN II;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;07926601.0001-79;JPM MONTAGEM DE ANDAIMES LTDA;NOVO HORIZONTE;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;09153052.0001-72;JRP SERVICOS EM PISOS LTDA;INOCOOP;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;42191700.0001-50;JSE CONSTRU ≤ öES E EMPREENDIMENTOS;SEDE;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;13284722.0001-67;JSO MONTAGEM INDUSTRIAL LTDA;INOCOOP;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;13311931.0001-52;LEIRO CONSTRU ≤ öES E INCORPORA ≤ öES;JAUA;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;32658668.0001-17;LEME SERVICOS ESPECIALIZADOS LTDA;POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;42219675.0001-76;LPC EMPREENDIMENTOS E CONSTRUCOES;CAMACARI DE DEN;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;13328372.0001-93;MANTEP MANUTENCAO PROJETOS E OBRAS;JD . BRASILIA;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;11544800.0001-90;MASAN INSPE ≤ öES LTDA;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;63263289.0001-51;MCE ENGENHARIA LTDA;POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;12027936.0001-95;MINAS PISOS CONCRETAGEM LTDA ME;ALTO DA CRUZ;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;03734740.0001-40;MIRP ISOLAMENTO TERMICO LTDA;TRIANGULO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01313348.0001-00;NORDESTE PINTURAS E REVESTIMENTOS;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;09555369.0001-35;NOVA FORMULA CONSTRUTORA LTDA;CAMACARI DENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;07925691.0001-83;OBERON PROJETOS E INSTALA ≤ öES;LIMOEIRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;00217152.0001-40;PAISARTT CONSTRUTORA LTDA;CENT COM CAMACARI;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;11170062.0001-68;PERFECT TELECOM SERVICOS DE;NOVO HORIZONTE;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;05468423.0001-54;PRODUTEC CONSTRUTORA LTDA;PIACAVEIRA;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01238504.0001-07;RECONART CONSTRU ≤ ¥ O LTDA;POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;00779176.0001-93;REPISOL MANUTENCAO INDUSTRIAL LTDA;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01931158.0001-48;ROTHEUMA CONSTRU ≤ ¥ O E MANUTEN ≤ ¥ O;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;40489197.0001-99;SANTACRUZ ENGENHARIA LTDA;POLOPLAST;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;01745522.0001-85;SIRVA SERVICOS E ADMINISTRA ≤ ¥ O LTDA;JAUA;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;10631994.0001-06;TATIANA LIMA DOS ANJOS;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;09138438.0001-05;TECNOPOCOS PERFURACOES COM E LOC DE;GRAVATA;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;32652216.0001-28;TERPLAC ENGENHARIA E CONSTRU ≤ öES;PONTO CERTO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;86928751.0001-98;URBANA ENGENHARIA LTDA;POLO DE APOIO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;07129046.0001-54;VERSATILE CONSTRU ≤ öES E SERVI ≤ OS;PONTO CERTO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;08968669.0001-83;VILA NOVA EMPREENDIMENTOS LTDA SOC;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;40493546.0001-46;VILA ≤ A CONSTRU ≤ OES LTDA;ALTO DA CRUZ;2011
BA;BAHIA;29.05701.00;Cama ari;29.05701.00;Cama ari;11429667.0001-20;WN EMPREENDIMENTOS IMOBILIARIOS;VILA DE ABRANTES;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;09411960.0001-19;A L SANTANA DA SILVA ME;BOTAFOGO;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;07638417.0001-23;ANDRADE MAGALHAES DO BRASIL;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;08894562.0001-38;AT CONSTRUCOES REPRESENTACOES E;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;05639592.0001-00;EDITANIA CONSTRUCOES E INSTALACOES;LAMA PRETA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;11324269.0001-40;KATIA MARQUES DOS SANTOSME;ITINGA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;02782122.0001-02;KNAPP MONTAGENS E MANUTEN ≤ ¥ O;IMBASSAI;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;07936034.0001-31;MB CONSTRUCOES;TERREO;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;01737963.0001-35;MONSERTEC MANUTEN ≤ ¥ O INDUSTRIAL;PQ . PETROPOLIS;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;12423356.0001-17;MONTEC MONETAGEM TØCNICA LTDA;T . DA BARRA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;05451496.0001-33;NIPLAN NORDESTE E ENGENHARIA LTDA;EMBASSAY;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;09278132.0001-54;PERFIL PROJETOS E SERVICOS LTDA ME;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;06147333.0001-24;PREMIUM LOCA ≤ ¥ O E SERVI ≤ OS LTDA;SANTA TEREZINHA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;00860705.0001-89;PRODUMAN ENGENHARIA LTDA;IMBASSAY;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;08699722.0001-98;SME CONSTRUCOES E MONTAGENS;POLO EMPRESARIA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;73507428.0001-07;TERMONTEC PROJETOS E SERVI ≤ OS;GARCIA DAVILA;2011
BA;BAHIA;29.05701.00;Cama ari;29.10057.00;Dias d vila;12051742.0001-25;TOPGIS SEWRVI ≤ OS LTDA;CENTRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.21005.00;Mata de S o Jo;10863415.0001-42;IBERICA CONSTRU ≤ öES E INCORPORA ≤ öES;PRAIA DO FORTE;2011
BA;BAHIA;29.05701.00;Cama ari;29.21005.00;Mata de S o Jo;11939471.0001-86;ORANGE INCORP SERVICOS LTDA ME;PRAIA DO FORTE;2011
BA;BAHIA;29.05701.00;Cama ari;29.21005.00;Mata de S o Jo;11351836.0001-57;PIRES LOPEZ SERVICOS LTDA;ACU DA TORRE;2011
BA;BAHIA;29.05701.00;Cama ari;29.21005.00;Mata de S o Jo;12165524.0001-11;TIVOLI ECORESIDENCES PRAIA DO FORTE;PRAIA DO FORTE;2011
BA;BAHIA;29.05701.00;Cama ari;29.25204.00;Pojuca;14312292.0001-02;AVELAR CONSTRU ≤ öES E TERRAPLENAGEM;STAR;2011
BA;BAHIA;29.05701.00;Cama ari;29.25204.00;Pojuca;00300531.0001-08;CONSTRUTERRA CONSTRU ≤ öES E;RETIRO;2011
BA;BAHIA;29.05701.00;Cama ari;29.25204.00;Pojuca;74112962.0001-79;CONSTRUTORA SOUZA OLIVEIRA LTDA;NOVA POJUCA;2011
BA;BAHIA;29.05701.00;Cama ari;29.25204.00;Pojuca;42070797.0001-43;PREFAC CONSTRU ≤ ¥ O DE ESTRUTURAS DE;NOVA POJUCA;2011
BA;BAHIA;29.05701.00;Cama ari;29.25204.00;Pojuca;07191766.0001-40;ROBERVAN GUIMARAES LIMA ME;NOVA POJUCA;2011
BA;BAHIA;29.08408.00;Concei o do Coit {;29.08408.00;Concei o do;11156876.0001-48;AO PINHEIRO CONSTRUTORA LTDA;DIST DE SALGADALIA;2011
BA;BAHIA;29.08408.00;Concei o do Coit {;29.08408.00;Concei o do;10637146.0001-04;JUCILENE SANTANA DE MORAIS REIS;ACUDINHO;2011
BA;BAHIA;29.08408.00;Concei o do Coit {;29.08408.00;Concei o do;10573992.0001-08;LOPES CONSTRUTORA E EMPRETEIRA LTDA;SALGADALIA;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.07301.00;Castro Alves;02689386.0001-16;CARLOS ANTONIO DA SILVA SANTOS;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.07301.00;Castro Alves;08941983.0001-72;EMPRESA MINEIRA DE PISOS E;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.07301.00;Castro Alves;08518206.0001-10;TECNOQUALI ENGENHARIA LTDA;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.09802.00;Cruz das Almas;15144496.0001-44;FRANCISCO DA SILVA SANTOS DE CRUZ;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.09802.00;Cruz das Almas;07067843.0001-54;HEN CONSTRU ≤ öES E SERVI ≤ OS EM;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.09802.00;Cruz das Almas;12656762.0001-20;PEDRO RIBEIRO SANTANA CONSTRUCOES;ZONA RURAL;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.09802.00;Cruz das Almas;11625561.0001-00;VERSATIL CONSTRU ≤ öES LTDA;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.16856.00;Itatim;03832365.0001-70;GEIZA OLIVEIRA BRANDAO;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.29107.00;S o Felipe;13688966.0001-05;LEONARDO FABRICIO DE SAC L E CIA;CENTRO;2011
BA;BAHIA;29.09802.00;Cruz das Almas;29.29602.00;Sapea u;12076155.0001-90;HIDRAULCIC INSTALA ≤ öES LTDA;CENTRO;2011
BA;BAHIA;29.10602.00;Esplanada;29.10602.00;Esplanada;07907834.0001-24;INKA LODJE ADMIISTRADORA DE IMOVEIS;CACOEIRA DE ITANHI;2011
BA;BAHIA;29.10602.00;Esplanada;29.17904.00;Jandara;07461996.0001-81;SUPERFUND BRASIL EMPREENDIMENTOS;DISTRITO DE ABADIA;2011
BA;BAHIA;29.10701.00;Euclides da Cunha;29.10701.00;Euclides da;11389865.0001-08;CONSTRUTORA D R J LTDA;DUDA MACARIO;2011
BA;BAHIA;29.10701.00;Euclides da Cunha;29.32002.00;Uau∆;63100945.0001-03;TECHNOLIGIAS DE SERVICOS LTDA;CENTRO;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.10727.00;Eun∆polis;05607309.0001-68;J N OLIVEIRA LTDA;CENTRO;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.10727.00;Eun∆polis;03004159.0001-72;NUNES E SILVA COMERCIO E;CENTRO;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.10727.00;Eun∆polis;20524237.0001-89;PERFIL ENGENHARIA SA;JUCA ROSA;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.10727.00;Eun∆polis;10465608.0001-45;RIMA GESTAO AMBIENTAL LTDA;CENTAURO;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.11808.00;Guaratinga;07467843.0001-41;JTS - CONSTRUTORA E TRANSPORTADORA;CENTRO;2011
BA;BAHIA;29.10727.00;Eun∆polis;29.14653.00;Itabela;04583694.0001-98;GO URBANIZA ≤ ¥ O LTDA;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;10144412.0001-59;ANDERSON SANTOS SOUZA ME;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;10293026.0001-29;ESTRATEGIC ENGENHARIA LTD;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;04578653.0001-03;J F JACUIPENSE CONSTRUTORA LTDA;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;05115697.0001-60;R . P CONSTRUTORA E EMPREENDIMENTOS;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;09500619.0001-30;RN EMPREITEIRA;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;04603006.0001-04;SSA ENGENHARIA LTDA;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;10339864.0001-96;VS CONSTRUCOES E SERVICOS;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.08507.00;Concei o do;02963584.0001-26;ZULMAQ LOCACAO DE MAQUINAS E;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;05604468.0001-09;ipan instala es eletricas ltda;CIS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;13074860.0001-11;A GONCALVES DOS SANTOS E CIA LTDA;PEDRA DO DESCANSO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;06879879.0001-70;ALTEC ENGENHARIA LTDA;S ¥ O JOAO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;09372556.0001-83;ANDRE CARIBE ARAUJO;CAMPO LIMPO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;03784024.0001-77;APOIO ENGENHARIA FUND . E GEOTECNICA;CAPUCHINHOS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;00067240.0001-03;AR COSTA E CIA LTDA;SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;05257366.0001-64;ASSISTENCE TELECOMUNICACOES;CENTRO;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;09522618.0001-96;ATMOSFERA EMPREENDIMENTO LTDA;SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;06316878.0001-17;ATRIUM CONSTRU ≤ öES E;SANTA MONICA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;07196300.0001-37;AZEVEDO AQUINO EMPREENDIMENTOS LTDA;CIS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;10303254.0001-32;A1 CONSTRUCOES E EMPREENDIMENTOS;COQUEIROS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;09021835.0001-00;BELVEDERE CONSTRUTORA LTDA;CAPUCHINHOS;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;00336597.0001-40;BETHA SINALIZA ≤ AO E CONSTRU ≤ OES;TOMBA;2011
BA;BAHIA;29.10800.00;Feira de Santana;29.10800.00;Feira de;09362522.0001-08;CARLOS ALBERTO ALVES DE ANDRADE;AVIARIO;2011
